line_item_resource_id,bill_payer_account_id,product_product_name,line_item_product_code,product_region,line_item_usage_type,product_instance_type_family,product_instance_type,line_item_operation,line_item_line_item_type,line_item_normalization_factor,line_item_usage_amount,line_item_unblended_cost,line_item_normalized_usage_amount
i-0adfdf9d6cd7a9864,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.988889,8,3.9944445
i-0affa45b9b5f62a72,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.963333,8,3.9816665
i-0b0efbd13194c3ad9,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.986944,8,3.993472
i-0b11703806d9e74f4,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.990556,8,3.995278
i-0b4c5f63b7f950cd2,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.993889,8,3.9969445
i-0b64a33be4b79b94f,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.9877780000000005,8,3.9938890000000002
i-0b7584ac070bb7987,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.9877780000000005,8,3.9938890000000002
i-0b7c985f37fc200c5,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.993333,8,3.9966665
i-0b9c724d217db58bd,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.995278,8,3.997639
i-0ba61f9b83cdf6267,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.997778,8,3.998889
i-0baedb81b39b3f5c5,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.990278,8,3.995139
i-0bc237233ef470cb1,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,ap-southeast-2,APS2-BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,0.213333,1,0.1066665
i-0bd12648e2df28be8,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.990556,8,3.995278
i-0bed737057b530fbf,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.988611,8,3.9943055
i-0bf73f5634d8c6b99,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.986667,8,3.9933335
i-0c25843b65e46b0bc,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.986667,8,3.9933335
i-0c35eae597a3387aa,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.996111,8,3.9980555
i-0c3bc4204e199116c,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.988056,8,3.994028
i-0c3d96c1bff9ce754,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.988611,8,3.9943055
i-0c42c950d23b066d9,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.996667,8,3.9983335
i-0c84095009d1134eb,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.998333,8,3.9991665
i-0c8556a14ef57f55f,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.991667,8,3.9958335
i-0c8d9029e9cc473a6,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.987222,8,3.993611
i-0c8f2c587fb148bcb,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.993611,8,3.9968055
i-0c972c2bafc21460d,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.993333,8,3.9966665
i-0c9750127727ed37c,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.988333,8,3.9941665
i-0ca38a3ca4c14cc2b,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.995278,8,3.997639
i-0cae9c4dc3bfd2c68,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.988056,8,3.994028
i-0cb7906f6529b583f,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:c5.large,c5,c5.large,RunInstances,Usage,4.0,1218.0,1218,4872.0
i-0cc8f9634683d314e,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.993333,8,3.9966665
i-0cd33bab5cfc27a34,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.996944,8,3.998472
i-0ce441173b5659a19,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.999722,8,3.999861
i-0d1824e07b6e83504,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.990278,8,3.995139
i-0d19c753df14a4f83,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.998056,8,3.999028
i-0d358bfd0d98a69fd,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.989167,8,3.9945835
i-0d36940871489bca5,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,0.053056,1,0.026528
i-0d3db8c43a30dd166,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,99.969444,100,49.984722
i-0d5b7c48d4dc9c3b8,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.994444,8,3.997222
i-0d61b30d9c6a05e43,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.large,t2,t2.large,RunInstances,Usage,4.0,0.016667,1,0.066668
i-0d828839c1be7384a,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.995278,8,3.997639
i-0d8843eda3533109c,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.991111,8,3.9955555
i-0d9d33c53bebfdaf5,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.99,8,3.995
i-0db4853e9f1283355,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.996944,8,3.998472
i-0db89450cc10e6066,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.990556,8,3.995278
i-0dced0a5ee97f0c52,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.998889,8,3.9994445
i-0dd4bec51f634875a,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.991944,8,3.995972
i-0de3ef281e50e9a24,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.997222,8,3.998611
i-0de7a425feed12508,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.993889,8,3.9969445
i-0dfc33ccd08b18685,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.987222,8,3.993611
i-0e1948760a94f2dcd,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,0.228333,1,0.1141665
i-0e2c264799d94974a,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.9877780000000005,8,3.9938890000000002
i-0e79277d2da138c02,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.993611,8,3.9968055
i-0e7d2d8f30bf577d5,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,192.0,210,96.0
i-0e7e12df4d0fc1a05,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.993611,8,3.9968055
i-0e9d0ba7fed954adb,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.990833,8,3.9954165
i-0e9f2280c5231d1b9,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.9858329999999995,8,3.9929164999999998
i-0e9fb1542d5695dc2,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.9925,8,3.99625
i-0ea4d6603a449a7d1,836060457634,Amazon Elastic Compute Cloud,AmazonEC2,us-east-1,BoxUsage:t2.micro,t2,t2.micro,RunInstances,Usage,0.5,7.993056,8,3.996528
